GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Players,1627759,Jaylen Brown,Jaylen,1610612738,BOS,28.0,4,1,3,0.25,15.94,0.0,11.3,0.0,0.0,4.5,0.0,6.8,6.8,1.0,0.0,4.5,4.5,2.3,4.5,0.0,0.0,0.0,4.5,4.5,6.8,-27.1,11.1,1,0,13.6,39,53,19,75,35,70,54,70,47,50,47,20,27,1,43,44,61,41,18,26,29,31,40,33,74,83,98,21,5,90
Players,1631119,Jaylin Williams,Jaylin,1610612760,OKC,22.0,4,3,1,0.75,0.6183333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.4,87.3,0,0,58.2,39,29,71,19,118,70,92,70,47,70,47,49,51,49,43,69,77,1,45,26,29,31,77,60,80,7,6,40,5,14
Players,1628369,Jayson Tatum,Jayson,1610612738,BOS,27.0,5,1,4,0.2,20.616666666666667,3.5,21.0,0.167,0.0,8.7,0.0,12.2,12.2,1.0,0.0,7.0,7.0,1.7,1.7,0.0,1.7,0.0,3.5,3.5,19.2,-26.2,33.7,3,0,31.4,26,53,1,81,22,57,16,69,47,28,47,8,11,1,43,27,44,44,36,26,18,31,49,43,34,80,45,4,5,47
Players,202710,Jimmy Butler III,Jimmy,1610612744,GSW,35.0,3,2,1,0.667,8.688333333333333,8.3,20.7,0.4,0.0,0.0,0.0,20.7,20.7,1.0,4.1,8.3,12.4,0.0,0.0,0.0,0.0,4.1,0.0,12.4,37.3,-8.3,52.2,0,0,49.7,56,38,71,27,56,22,18,47,47,70,47,3,3,1,17,21,20,49,45,26,29,11,77,7,11,67,18,40,5,21
Players,1629723,John Konchar,John,1610612763,MEM,29.0,2,0,2,0.0,0.6733333333333333,0.0,53.5,0.0,0.0,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.2,0,0,53.5,76,84,43,84,117,70,2,70,47,2,47,49,51,49,43,69,77,2,45,26,29,31,77,60,80,46,7,40,5,19
Players,1628371,Jonathan Isaac,Jonathan,1610612753,ORL,27.0,1,1,0,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,100,53,124,1,131,70,92,70,47,70,47,49,51,49,43,69,77,49,45,26,29,31,77,60,80,46,107,40,5,107
Players,1630228,Jonathan Kuminga,Jonathan,1610612744,GSW,22.0,1,0,1,0.0,3.2883333333333336,0.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,0.0,0.0,0.0,-98.5,0.0,0,0,0.0,100,84,71,84,93,70,13,70,47,70,47,49,51,49,43,69,77,49,45,26,29,2,77,60,80,117,107,40,5,107
Players,1628404,Josh Hart,Josh,1610612752,NYK,30.0,10,6,4,0.6,45.89666666666667,2.4,7.1,0.333,0.0,2.4,0.0,3.9,3.9,1.0,1.6,7.1,8.6,3.9,0.8,0.8,0.0,0.8,1.6,2.4,8.6,16.5,26.4,3,0,22.7,9,10,1,37,3,67,74,50,47,63,47,33,36,1,35,26,35,28,42,25,29,28,71,53,69,34,62,4,5,63
Players,201950,Jrue Holiday,Jrue,1610612738,BOS,35.0,3,0,3,0.0,14.266666666666667,2.5,10.1,0.25,0.0,5.0,0.0,0.0,0.0,0.0,5.0,2.5,7.6,2.5,0.0,0.0,0.0,2.5,2.5,0.0,5.0,-50.5,17.9,0,0,15.1,56,84,19,84,38,65,61,60,47,48,47,49,51,49,14,62,38,37,45,26,29,17,58,60,77,99,80,40,5,88
Players,203944,Julius Randle,Julius,1610612750,MIN,30.0,5,4,1,0.8,13.935,5.2,5.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,12.9,15.5,10.3,5.2,0.0,0.0,0.0,2.6,5.2,10.3,77.5,39.3,1,1,36.2,26,20,71,14,40,46,81,1,47,70,47,49,51,49,25,10,13,8,14,26,29,31,56,29,61,12,33,21,1,37
Players,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,29.0,10,6,4,0.6,42.87833333333333,6.7,9.2,0.727,2.5,3.4,0.75,4.2,5.9,0.714,4.2,8.4,12.6,0.0,3.4,1.7,0.8,0.8,6.7,3.4,20.2,21.8,39.5,6,0,40.3,9,10,1,37,4,32,62,19,29,57,14,32,32,34,16,19,19,49,25,18,26,27,28,48,33,25,32,2,5,31
Players,202695,Kawhi Leonard,Kawhi,1610612746,LAC,33.0,4,2,2,0.5,18.628333333333334,5.8,13.5,0.429,0.0,7.7,0.0,1.9,1.9,1.0,1.9,7.7,9.7,3.9,3.9,3.9,0.0,0.0,1.9,5.8,13.5,-1.9,38.7,1,0,34.8,39,38,43,44,27,39,41,44,47,31,47,45,49,1,32,23,30,29,21,7,29,31,65,23,48,57,35,21,5,42
Players,1629026,Kenrich Williams,Kenrich,1610612760,OKC,30.0,1,1,0,1.0,0.043333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-830.8,0.0,0,0,0.0,100,53,124,1,126,70,92,70,47,70,47,49,51,49,43,69,77,49,45,26,29,31,77,60,80,128,107,40,5,107
Players,203484,Kentavious Caldwell-Pope,Kentavious,1610612763,MEM,32.0,2,1,1,0.5,6.35,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,5.7,-28.3,5.7,0,0,5.7,76,53,71,44,72,70,92,70,47,70,47,25,34,1,43,69,77,49,45,26,29,31,33,60,76,84,106,40,5,106
Players,1629645,Kevin Porter Jr.,Kevin,1610612749,MIL,25.0,1,0,1,0.0,9.9,0.0,7.3,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,3.6,0.0,0.0,0.0,0.0,0.0,0.0,-3.6,7.3,0,0,7.3,100,84,71,84,51,70,70,70,47,53,47,49,51,49,43,69,77,16,22,26,29,31,77,60,80,62,103,40,5,103
Players,1626172,Kevon Looney,Kevon,1610612744,GSW,29.0,2,1,1,0.5,3.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,18.6,18.6,1.0,9.3,0.0,9.3,0.0,0.0,0.0,0.0,0.0,27.9,9.3,18.6,-65.2,29.8,0,0,27.9,76,53,71,44,90,70,92,70,47,70,47,4,4,1,6,69,32,49,45,26,29,31,6,14,37,108,56,40,5,54
